flex1,flex2,flex3,flex4,flex5,accx,accy,accz,gyrx,gyry,gyrz,label
219,292,280,279,211,-2.98,8.1,4.59,-0.06,0.05,-0.01,3
219,292,281,278,211,-2.52,8.26,4.55,-0.06,0.01,-0.01,3
219,292,281,279,211,-2.62,8.24,4.59,-0.08,0.04,0.0,3
219,291,281,278,211,-2.95,8.12,4.56,-0.07,0.04,-0.0,3
219,291,281,278,211,-2.65,8.25,4.6,-0.03,0.01,-0.0,3
219,291,281,279,211,-2.62,8.28,4.55,-0.03,0.02,-0.02,3
219,292,281,279,211,-3.05,8.14,4.55,-0.04,0.04,-0.02,3
219,292,281,278,211,-2.98,8.14,4.56,-0.04,0.03,-0.02,3
219,291,281,278,211,-2.64,8.19,4.59,-0.04,0.03,-0.01,3
219,291,281,278,211,-2.72,8.27,4.56,-0.01,0.01,-0.01,3
219,291,281,279,211,-2.84,8.2,4.45,-0.04,0.04,-0.0,3
219,292,281,279,211,-2.54,8.32,4.41,-0.05,0.02,-0.01,3
218,291,280,278,211,-2.66,8.31,4.39,-0.06,0.02,-0.02,3
219,290,281,278,211,-2.94,8.19,4.48,-0.06,0.01,-0.02,3
219,291,281,278,211,-2.8,8.15,4.54,-0.07,0.02,0.0,3
219,292,281,279,211,-2.59,8.25,4.55,-0.06,0.02,-0.0,3
219,292,281,279,211,-2.79,8.18,4.6,-0.06,0.04,-0.01,3
219,291,281,279,211,-2.75,8.18,4.5,-0.05,0.0,-0.01,3
219,290,281,278,211,-2.55,8.27,4.51,-0.04,0.0,-0.03,3
219,291,281,279,211,-2.81,8.25,4.51,-0.06,0.01,-0.04,3
219,291,281,278,211,-2.89,8.17,4.56,-0.05,0.01,-0.02,3
219,292,281,279,211,-2.75,8.2,4.54,-0.04,0.01,-0.02,3
219,291,280,279,211,-2.73,8.28,4.47,-0.04,0.02,-0.01,3
219,291,281,279,211,-2.89,8.17,4.42,-0.06,0.03,0.0,3
219,292,281,278,211,-2.64,8.25,4.51,-0.05,0.01,-0.01,3
219,292,281,279,211,-2.71,8.21,4.53,-0.06,0.01,-0.03,3
219,292,281,279,211,-2.84,8.21,4.6,-0.05,0.0,-0.04,3
219,291,281,279,211,-2.88,8.1,4.61,-0.06,0.04,-0.01,3
219,291,280,278,211,-2.59,8.25,4.5,-0.04,0.02,-0.02,3
219,292,281,279,211,-2.87,8.23,4.46,-0.03,0.02,-0.01,3
219,293,281,279,211,-2.94,8.16,4.42,-0.04,0.02,-0.01,3
219,292,281,279,211,-2.64,8.24,4.48,-0.05,0.02,-0.01,3
219,291,281,278,211,-2.76,8.24,4.53,-0.07,0.04,-0.01,3
219,291,281,279,211,-2.97,8.15,4.61,-0.04,0.0,-0.02,3
219,292,281,279,211,-2.63,8.21,4.54,-0.04,0.02,-0.01,3
219,292,281,279,211,-2.62,8.32,4.54,-0.04,0.03,-0.01,3
219,291,281,279,211,-2.82,8.24,4.45,-0.03,0.01,-0.02,3
219,291,281,278,211,-2.84,8.2,4.46,-0.05,0.03,-0.02,3
219,291,281,279,211,-2.59,8.3,4.43,-0.05,-0.01,-0.02,3
219,292,281,279,211,-3.02,8.19,4.49,-0.06,0.03,-0.01,3
219,291,281,279,211,-2.94,8.18,4.49,-0.05,-0.01,-0.02,3
219,291,281,278,211,-2.6,8.22,4.58,-0.06,0.02,-0.01,3
219,291,281,278,211,-2.74,8.25,4.54,-0.05,0.01,-0.01,3
219,292,281,279,211,-2.82,8.22,4.47,-0.04,0.0,-0.01,3
219,292,281,279,211,-2.65,8.29,4.49,-0.05,0.02,-0.02,3
219,292,281,279,211,-2.59,8.3,4.51,-0.04,0.0,-0.03,3
219,291,281,278,211,-2.98,8.18,4.5,-0.05,0.01,-0.02,3
219,291,281,278,211,-2.81,8.2,4.48,-0.06,0.02,-0.01,3
219,292,280,279,211,-2.65,8.26,4.54,-0.06,0.02,-0.0,3
219,292,281,279,211,-2.87,8.2,4.57,-0.05,0.02,0.0,3
219,292,281,279,211,-2.8,8.17,4.51,-0.05,0.02,0.0,3
219,291,281,278,210,-2.54,8.29,4.54,-0.05,0.03,-0.01,3
219,292,281,278,211,-2.7,8.3,4.51,-0.06,0.02,-0.02,3
219,292,281,279,211,-2.91,8.15,4.56,-0.05,0.02,-0.02,3
219,292,281,279,211,-2.74,8.22,4.51,-0.04,0.01,-0.03,3
219,291,281,278,211,-2.71,8.27,4.44,-0.05,0.03,-0.01,3
219,292,281,278,211,-2.91,8.24,4.45,-0.05,0.01,-0.0,3
219,291,281,278,211,-2.65,8.21,4.5,-0.06,0.02,-0.01,3
219,292,280,279,211,-2.63,8.29,4.5,-0.05,0.01,-0.02,3
219,292,281,279,211,-2.85,8.23,4.56,-0.05,0.02,-0.02,3
219,291,281,279,211,-2.89,8.17,4.55,-0.05,0.01,-0.02,3
219,291,281,278,211,-2.56,8.29,4.47,-0.05,0.01,-0.01,3
219,291,281,279,211,-2.83,8.24,4.5,-0.05,0.02,-0.01,3
219,292,281,279,211,-2.8,8.19,4.5,-0.04,0.01,-0.02,3
219,292,281,279,211,-2.67,8.23,4.47,-0.05,0.01,-0.02,3
219,291,281,279,211,-2.77,8.26,4.49,-0.05,0.03,-0.01,3
219,291,281,279,211,-2.92,8.17,4.49,-0.05,0.01,-0.01,3
219,292,281,279,211,-2.66,8.25,4.52,-0.06,0.03,-0.02,3
219,292,281,279,211,-2.73,8.3,4.55,-0.05,-0.01,-0.02,3
219,292,281,279,211,-2.86,8.24,4.57,-0.06,0.01,-0.01,3
219,291,281,278,211,-2.8,8.17,4.57,-0.05,0.03,-0.01,3
219,291,280,278,211,-2.5,8.33,4.47,-0.03,0.02,-0.01,3
219,292,281,279,211,-2.82,8.27,4.47,-0.04,0.01,-0.01,3
219,292,281,280,211,-2.9,8.19,4.45,-0.05,0.02,-0.02,3
218,291,281,278,211,-2.67,8.25,4.46,-0.06,0.0,-0.03,3
219,291,281,278,211,-2.78,8.22,4.53,-0.06,0.02,-0.02,3
219,292,281,278,211,-2.96,8.16,4.56,-0.04,0.02,-0.01,3
219,292,281,279,211,-2.58,8.26,4.43,-0.04,0.03,-0.01,3
219,292,281,279,211,-2.59,8.32,4.42,-0.04,0.02,-0.02,3
219,292,281,279,211,-2.9,8.23,4.46,-0.05,0.02,-0.02,3
219,291,281,278,211,-2.8,8.21,4.49,-0.06,0.0,-0.02,3
219,291,281,278,211,-2.69,8.26,4.53,-0.06,0.02,-0.02,3
219,291,281,279,211,-2.93,8.18,4.54,-0.05,0.02,-0.0,3
219,292,281,279,211,-2.83,8.18,4.49,-0.05,0.02,-0.0,3
219,291,281,278,211,-2.63,8.26,4.47,-0.06,0.03,-0.01,3
219,291,281,278,211,-2.78,8.26,4.46,-0.05,0.0,-0.02,3
219,292,281,279,211,-2.87,8.2,4.47,-0.06,0.02,-0.01,3
219,292,281,279,211,-2.58,8.27,4.51,-0.07,0.02,-0.01,3
219,292,281,278,211,-2.65,8.3,4.56,-0.06,0.01,-0.01,3
219,291,281,278,211,-2.96,8.15,4.54,-0.06,0.01,-0.02,3
219,291,281,278,211,-2.74,8.19,4.57,-0.05,0.02,-0.01,3
219,292,281,279,211,-2.6,8.3,4.49,-0.05,0.01,-0.01,3
219,292,281,279,211,-2.78,8.24,4.52,-0.04,0.02,-0.01,3
219,291,281,279,211,-2.84,8.2,4.43,-0.04,0.02,-0.02,3
219,292,281,279,211,-2.6,8.28,4.49,-0.06,0.03,-0.01,3
219,291,281,278,211,-2.83,8.22,4.55,-0.06,0.01,-0.01,3
219,292,281,279,211,-2.88,8.17,4.49,-0.05,0.01,-0.01,3
219,292,281,279,211,-2.63,8.25,4.42,-0.05,-0.01,-0.02,3
218,291,280,279,211,-2.62,8.31,4.52,-0.04,0.02,-0.02,3
219,291,281,278,211,-3.01,8.18,4.42,-0.06,0.03,-0.01,3
219,292,281,278,211,-2.7,8.23,4.47,-0.05,0.01,-0.02,3
219,292,281,280,211,-2.68,8.27,4.5,-0.06,0.02,-0.01,3
219,292,280,279,211,-2.89,8.19,4.54,-0.07,0.06,0.0,3
218,291,281,278,211,-2.82,8.19,4.58,-0.05,0.01,-0.01,3
219,291,281,278,211,-2.58,8.3,4.48,-0.04,0.01,-0.01,3
219,292,281,279,211,-2.83,8.22,4.53,-0.04,0.02,-0.01,3
219,292,280,279,211,-2.69,8.24,4.51,-0.04,-0.01,-0.03,3
219,292,281,279,211,-2.65,8.24,4.55,-0.05,0.01,-0.02,3
219,291,280,279,211,-2.74,8.25,4.49,-0.04,0.01,-0.03,3
219,291,281,278,211,-2.95,8.17,4.55,-0.04,0.03,-0.02,3
219,291,281,279,211,-2.62,8.27,4.47,-0.05,0.01,-0.01,3
219,292,281,279,211,-2.67,8.27,4.51,-0.05,0.03,-0.01,3
219,292,281,278,211,-2.86,8.23,4.42,-0.04,0.01,-0.01,3
219,292,281,279,211,-2.8,8.24,4.45,-0.06,0.04,-0.01,3
219,291,281,278,211,-2.63,8.28,4.54,-0.05,0.0,-0.01,3
219,292,281,279,211,-2.93,8.17,4.54,-0.05,0.04,-0.01,3
219,292,281,278,211,-2.9,8.17,4.48,-0.05,0.04,-0.01,3
219,292,281,278,211,-2.52,8.33,4.45,-0.03,0.01,-0.01,3
218,290,280,278,210,-2.79,8.29,4.44,-0.05,0.02,-0.02,3
219,292,281,278,211,-2.93,8.22,4.48,-0.05,0.02,-0.02,3
219,292,281,279,211,-2.59,8.31,4.48,-0.05,0.01,-0.01,3
219,292,281,279,211,-2.7,8.29,4.41,-0.06,0.02,-0.01,3
219,291,281,278,211,-2.99,8.16,4.53,-0.07,0.03,-0.0,3
219,292,281,278,211,-2.69,8.24,4.54,-0.06,0.02,-0.0,3
219,292,281,279,211,-2.64,8.3,4.51,-0.04,0.02,-0.01,3
219,292,281,279,211,-2.91,8.21,4.51,-0.05,0.03,-0.01,3
219,292,281,279,211,-2.81,8.23,4.44,-0.05,0.02,-0.02,3
219,291,280,279,211,-2.6,8.3,4.5,-0.04,0.02,-0.02,3
219,291,281,278,211,-2.94,8.2,4.46,-0.04,0.01,-0.03,3
219,292,281,279,211,-2.89,8.2,4.46,-0.06,0.04,-0.0,3
219,292,281,279,211,-2.75,8.22,4.43,-0.04,0.01,-0.0,3
219,292,281,278,211,-2.64,8.33,4.46,-0.04,0.01,-0.0,3
219,291,280,279,211,-2.95,8.17,4.42,-0.06,0.04,-0.0,3
219,291,281,278,211,-2.58,8.33,4.48,-0.05,0.01,-0.02,3
219,292,281,279,211,-2.8,8.24,4.47,-0.06,0.02,-0.02,3
219,292,281,279,211,-2.87,8.23,4.44,-0.05,0.0,-0.02,3
219,292,281,279,211,-2.81,8.17,4.49,-0.05,0.04,-0.01,3
219,291,281,278,211,-2.54,8.35,4.44,-0.04,0.01,-0.01,3
219,291,281,278,211,-2.96,8.24,4.45,-0.04,0.03,-0.01,3
219,292,281,279,211,-2.74,8.24,4.4,-0.04,0.01,-0.03,3
219,291,281,279,211,-2.6,8.27,4.47,-0.04,0.01,-0.03,3
